Vidroliquidotransparente200mm
5077-  [24.50;24.00;24.75;25.50;25.50;24.50;24.50;23.75;24.50;24.25;24.75;31.25;30.50;25.00;24.25;24.00;24.25;24.25;26.00;36.75;35.50;25.25;24.25;23.50;23.75;24.00;26.00;38.00;36.00;25.25;23.50;23.25;24.00;24.00;26.50;38.50;35.75;24.75;23.75;22.75;23.50;23.50;25.00;35.75;31.75;24.00;23.00;22.50;23.25;23.00;23.50;29.00;26.50;23.25;22.50;22.25;22.50;23.00;23.00;24.00;23.00;22.25;23.25;22.00]
5562-  [24.00;23.50;25.00;25.75;26.00;24.50;24.50;23.50;24.50;24.00;25.00;31.25;31.25;24.50;24.50;24.50;24.75;24.25;26.00;36.75;35.50;25.50;24.25;23.00;24.00;24.25;26.00;38.00;36.25;25.50;23.75;22.75;24.00;24.00;26.00;38.75;36.00;25.00;23.50;23.00;23.75;23.75;25.25;35.75;31.50;24.00;23.25;23.00;23.00;22.75;23.50;29.00;26.00;23.50;22.50;22.00;22.75;23.00;23.75;23.25;23.00;22.50;22.75;22.25]
6047-  [24.50;24.00;24.75;25.50;25.50;24.75;24.25;24.25;24.25;24.00;25.00;31.50;30.50;25.00;24.00;24.25;23.75;24.25;25.50;36.50;35.50;25.50;24.50;23.75;24.00;24.25;26.25;38.00;36.25;25.25;23.75;23.50;24.50;24.25;26.25;38.50;36.25;24.75;24.25;22.75;23.75;24.25;25.50;35.75;31.75;24.00;23.25;22.75;23.50;23.00;23.75;29.00;26.25;23.50;22.75;22.25;22.75;22.50;23.50;23.50;23.25;22.50;22.25;22.75]
6532-  [25.00;24.25;24.50;26.00;25.75;24.00;24.75;23.75;24.75;24.25;25.00;31.00;30.75;25.00;24.25;24.00;24.00;24.50;26.00;37.00;35.75;25.25;24.25;23.75;24.00;24.25;26.00;38.25;35.75;25.25;24.00;23.25;24.25;24.25;26.50;39.00;36.00;25.25;24.00;23.00;23.50;24.25;25.50;36.00;31.75;23.75;23.25;23.25;23.50;23.00;23.75;28.75;26.50;23.25;23.25;21.75;22.75;23.00;23.25;23.75;23.50;22.50;23.00;22.50]
7017-  [24.25;24.00;24.75;25.75;25.75;25.00;25.00;24.00;24.25;24.25;25.00;31.00;30.75;25.00;23.75;24.00;24.25;24.25;25.50;37.00;35.75;25.50;24.00;23.25;23.75;24.25;26.00;38.25;36.50;24.75;24.25;23.75;24.50;24.50;26.50;39.25;36.25;25.00;24.00;23.50;23.75;24.00;25.75;36.00;32.00;24.00;23.25;23.00;23.50;23.00;23.75;29.50;26.25;23.75;23.50;22.25;23.25;23.00;23.00;23.25;23.75;23.25;23.00;22.50]
7502-  [24.50;24.25;24.25;25.75;25.50;24.00;24.75;24.00;24.50;24.25;25.00;31.25;31.00;24.75;24.25;24.25;24.50;24.75;26.00;36.75;35.75;25.25;24.25;23.50;24.50;24.25;26.00;38.25;36.25;25.25;24.00;23.50;23.75;24.75;26.25;38.75;36.00;25.00;24.00;23.25;23.75;23.75;25.25;35.75;32.25;24.25;23.25;23.50;23.50;23.25;24.00;29.50;26.25;23.25;23.00;22.50;22.75;23.75;23.25;23.50;23.25;23.00;23.50;22.75]
7987-  [24.25;24.00;24.75;26.00;25.75;24.25;24.25;24.00;24.50;24.25;25.25;31.50;31.00;24.75;24.00;23.75;24.25;24.50;25.75;37.00;35.75;25.50;24.75;23.50;24.00;24.50;26.75;38.25;36.25;25.25;24.00;23.75;24.75;24.75;26.50;39.00;36.00;25.00;23.75;23.25;23.75;24.00;25.50;35.75;32.00;24.25;23.00;23.50;23.25;23.75;24.00;29.50;26.25;23.50;23.25;22.50;23.00;23.00;23.75;23.75;23.50;22.25;22.75;22.50]
8472-  [25.00;24.25;24.75;26.00;25.50;24.75;24.75;24.00;24.75;24.25;25.25;31.50;31.00;25.25;24.50;23.75;24.00;24.50;26.00;37.00;36.00;25.50;24.75;24.00;24.25;24.25;26.25;38.50;36.50;25.50;24.25;23.75;24.50;24.50;26.25;39.25;36.25;25.25;24.00;23.00;23.75;24.00;25.25;36.50;32.00;24.00;23.50;23.25;23.50;23.25;24.00;29.50;26.25;23.75;22.75;22.75;23.50;23.50;24.25;23.75;23.75;22.75;23.50;23.25]
8957-  [24.75;24.00;24.50;25.75;26.00;24.75;24.75;24.25;23.75;24.50;25.00;31.50;30.75;25.00;24.00;23.75;24.00;25.00;26.00;37.00;35.75;25.50;24.25;24.00;24.25;24.50;26.25;38.25;36.50;25.25;24.25;23.25;24.00;24.25;26.50;39.25;36.25;24.75;24.00;23.50;23.50;24.00;25.50;36.00;31.75;24.00;23.25;23.00;23.50;23.50;24.00;29.25;26.50;23.50;22.75;22.00;23.25;22.50;23.75;23.75;24.25;23.00;23.00;22.25]
9442-  [24.25;24.25;24.75;26.00;26.00;24.75;24.75;24.25;24.75;24.50;25.25;31.50;31.25;25.00;24.25;23.75;24.50;24.25;26.00;36.75;35.75;25.50;24.75;23.75;24.00;24.25;26.50;38.50;36.50;25.25;24.25;23.50;24.50;24.50;26.75;39.00;36.00;25.25;24.00;23.00;24.00;24.25;25.75;35.75;32.00;24.25;23.50;23.25;23.75;23.25;24.50;29.75;26.25;23.25;22.75;22.00;23.25;23.00;23.50;23.75;23.75;23.25;22.75;22.50]
